Open in Excel for Better user experience.,,,,,,,,,,,,,,,,,,,
Optimal Strategy Training,,,,,,,Random Strategy Training,,,,,,,Menace to Menace Strategy Training,,,,,
Time Stamp,Count,Menace Wins,Menace Lose,Draws,Result,,Time Stamp,Count,Menace Wins,Menace Lose,Draws,Result,,Time Stamp,Count,Menace Wins,Menace Lose,Draws,Result
Fri Apr 22 00:34:29 EDT 2022,95,0,40,54, conditionDraw,,Fri Apr 22 00:34:33 EDT 2022,94,67,63,9962, conditionDraw,,Fri Apr 22 00:34:38 EDT 2022,94,9237,191,10663, MenaceWins
Fri Apr 22 00:34:29 EDT 2022,96,0,40,55, conditionDraw,,Fri Apr 22 00:34:33 EDT 2022,95,67,63,9963, MenaceWins,,Fri Apr 22 00:34:38 EDT 2022,95,9238,191,10663, MenaceWins
Fri Apr 22 00:34:29 EDT 2022,97,0,40,56, conditionDraw,,Fri Apr 22 00:34:33 EDT 2022,96,68,63,9963, MenaceWins,,Fri Apr 22 00:34:38 EDT 2022,96,9239,191,10663, MenaceWins
Fri Apr 22 00:34:29 EDT 2022,98,0,40,57, conditionDraw,,Fri Apr 22 00:34:33 EDT 2022,97,69,63,9963, conditionDraw,,Fri Apr 22 00:34:38 EDT 2022,97,9240,191,10663, MenaceWins
Fri Apr 22 00:34:29 EDT 2022,99,0,40,58, conditionDraw,,Fri Apr 22 00:34:33 EDT 2022,98,69,63,9964, MenaceWins,,Fri Apr 22 00:34:38 EDT 2022,98,9241,191,10663, MenaceWins
Fri Apr 22 00:34:29 EDT 2022,100,0,40,59, conditionDraw,,Fri Apr 22 00:34:33 EDT 2022,99,70,63,9964, MenaceWins,,Fri Apr 22 00:34:38 EDT 2022,99,9242,191,10663, MenaceWins
Fri Apr 22 00:34:29 EDT 2022,101,0,40,60, conditionDraw,,Fri Apr 22 00:34:33 EDT 2022,100,71,63,9964, MenaceWins,,Fri Apr 22 00:34:38 EDT 2022,100,9243,191,10663, MenaceWins
Fri Apr 22 00:34:29 EDT 2022,102,0,40,61, conditionDraw,,Fri Apr 22 00:34:33 EDT 2022,101,72,63,9964, MenaceWins,,Fri Apr 22 00:34:38 EDT 2022,101,9244,191,10663, MenaceWins
Fri Apr 22 00:34:29 EDT 2022,103,0,40,62, conditionDraw,,Fri Apr 22 00:34:33 EDT 2022,102,73,63,9964, MenaceWins,,Fri Apr 22 00:34:38 EDT 2022,102,9245,191,10663, MenaceWins
Fri Apr 22 00:34:29 EDT 2022,104,0,40,63, conditionDraw,,Fri Apr 22 00:34:33 EDT 2022,103,74,63,9964, MenaceWins,,Fri Apr 22 00:34:38 EDT 2022,103,9246,191,10663, conditionDraw
Fri Apr 22 00:34:29 EDT 2022,105,0,40,64, conditionDraw,,Fri Apr 22 00:34:33 EDT 2022,104,75,63,9964, conditionDraw,,Fri Apr 22 00:34:38 EDT 2022,104,9246,191,10664, MenaceWins
Fri Apr 22 00:34:29 EDT 2022,106,0,40,65, conditionDraw,,Fri Apr 22 00:34:33 EDT 2022,105,75,63,9965, conditionDraw,,Fri Apr 22 00:34:38 EDT 2022,105,9247,191,10664, MenaceWins
Fri Apr 22 00:34:29 EDT 2022,107,0,40,66, conditionDraw,,Fri Apr 22 00:34:33 EDT 2022,106,75,63,9966, MenaceWins,,Fri Apr 22 00:34:38 EDT 2022,106,9248,191,10664, conditionDraw
Fri Apr 22 00:34:29 EDT 2022,108,0,40,67, conditionDraw,,Fri Apr 22 00:34:33 EDT 2022,107,76,63,9966, MenaceWins,,Fri Apr 22 00:34:38 EDT 2022,107,9248,191,10665, MenaceWins
